Figure Type: line chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Other","closed-ended finite answer set binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Other","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Other","closed-ended finite answer set non-binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.65","0.89"
"Other","closed-ended finite answer set non-binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.65","0.89"
"Other","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Graph
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Graph","closed-ended infinite answer set visual","0.16","0.09","0.75","0.16","0.09","0.75","0.79","0.69","0.92"
"Graph","closed-ended infinite answer set non-visual","0.06","0.03","0.5","0.06","0.03","0.5","0.79","0.73","0.86"
"Graph","closed-ended finite answer set binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Graph","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Graph","closed-ended finite answer set non-binary visual","0.06","0.03","0.5","0.06","0.03","0.5","0.75","0.64","0.89"
"Graph","closed-ended finite answer set non-binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Graph","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Line Chart,Bar Chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Line Chart,Bar Chart","closed-ended infinite answer set visual","0.0","0.0","0.0","0.0","0.0","0.0","0.76","0.65","0.91"
"Line Chart,Bar Chart","closed-ended infinite answer set non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.77","0.67","0.89"
"Line Chart,Bar Chart","closed-ended finite answer set binary visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.64","0.89"
"Line Chart,Bar Chart","closed-ended finite answer set binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.64","0.89"
"Line Chart,Bar Chart","closed-ended finite answer set non-binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Line Chart,Bar Chart","closed-ended finite answer set non-binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.65","0.89"
"Line Chart,Bar Chart","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Flow chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Flow chart","closed-ended infinite answer set visual","0.12","0.06","1.0","0.12","0.06","1.0","0.78","0.67","0.93"
"Flow chart","closed-ended infinite answer set non-visual","0.22","0.12","1.0","0.22","0.12","1.0","0.77","0.68","0.9"
"Flow chart","closed-ended finite answer set binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Flow chart","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Flow chart","closed-ended finite answer set non-binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Flow chart","closed-ended finite answer set non-binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.74","0.67","0.83"
